VENDOR,Total Deliverable,Submitted [Vendor],Not Yet Review,Overdue [Vendor Submit],Completed [PMO Review],In Progress [PMO Review],Overdue [PMO Review],"(A)
APPROVED","(B) APPROVED
W/ COMMENT","(C)
REJECTED","(D) FOR INFO
ONLY","PENDING
REVIEW"
SUMARAJA,200.0,57.0,143.0,0.0,23.0,0.0,34.0,4.0,14.0,2.0,0.0,37.0
BERCA,21.0,16.0,3.0,2.0,7.0,0.0,9.0,0.0,3.0,1.0,3.0,9.0
SCHNEIDER,184.0,182.0,2.0,0.0,169.0,0.0,13.0,82.0,84.0,1.0,0.0,15.0
WEICHAI,59.0,48.0,3.0,8.0,15.0,25.0,8.0,3.0,10.0,0.0,2.0,33.0
ZTE,93.0,63.0,4.0,26.0,15.0,6.0,42.0,2.0,11.0,4.0,5.0,41.0
OTIS,8.0,8.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,1.0,3.0
TOTAL,565,374,155,36,235,31,108,95,122,8,11,138
